label,H,S,V,dissimilarity 0,dissimilarity 45,dissimilarity 90,dissimilarity 135,correlation 0,correlation 45,correlation 90,correlation 135,contrast 0,contrast 45,contrast 90,contrast 135
1,70.49136488340191,146.13159893689985,118.50634516460906,6.019467700259693,6.5865832423549,6.61833591731414,6.382825347909115,0.9674979077844744,0.9644957213324645,0.9635089218704748,0.9637602400462711,126.68569509046618,138.19540221943998,142.09452196385672,141.05836534875186
1,66.4239188957476,154.25131001371741,143.66067215363512,7.320524547805353,7.626076201269753,7.513305770889073,7.630155574136265,0.9513945693640629,0.9490382576284705,0.9537719683853142,0.9497159783763308,190.1193600345019,199.1911302359243,181.15657708876472,196.5412195450824
1,74.2446913580247,134.28907235939644,123.03929355281207,8.297130060295851,8.421323295699972,8.388427217918743,8.517499067178994,0.9654138130829069,0.9650945370797457,0.9674867397318954,0.9652403467883802,265.19173126625157,267.5679837896711,249.27458225677262,266.45174714285673
1,70.97549897119342,151.07265003429356,151.02246399176954,6.976397071492345,7.430789720983715,6.878826873387364,6.924531170106933,0.9624925337837352,0.9605705853476437,0.9646317523896324,0.961256777803392,189.89702756250978,199.49413012537357,179.15744530583333,196.022306560196
1,68.13754715363511,163.57376200274348,125.18312242798353,8.437577088719598,8.883232162354608,8.999434108530412,9.081428531945901,0.9561767665701448,0.9533164518263716,0.9537297953851067,0.9512882315799978,234.9831515935378,249.76287036530118,248.1450465117211,260.6137629386448
1,69.63987311385459,158.4319350137174,102.76144633058985,7.104657192079335,7.7365777145167405,7.647757105946794,7.6009979477914555,0.9669731241117321,0.9627049432729089,0.9652868872950938,0.9647514140370945,225.86314298030535,254.04954671721157,236.88019982785283,240.1071839458295
1,70.43761059670781,141.49731567215363,153.53406035665296,7.0176029285122326,7.40736377330487,7.02183893195771,7.395514330925702,0.9498534523504227,0.9441869228251212,0.9485436241049947,0.9442023312246789,245.71246942299445,273.2406354943064,252.16891042213908,273.16506388114163
1,74.13616512345679,134.72931927297668,122.78879286694101,8.323693367789472,8.43827735244334,8.400214470287374,8.533806193946301,0.9652410617714822,0.9650363779003449,0.9675153917100967,0.9651678160921192,266.38879069777556,267.88529473755665,248.94621102507858,266.87966584215883
1,69.8442566872428,163.03620456104252,140.17277692043896,8.353007751941071,8.71412950346374,8.707565030149471,8.903233440667547,0.9548160234784283,0.9533735946912218,0.9547224604599123,0.9501105684959218,256.072647717584,263.74390901180846,256.5943505599555,282.20176441735475
1,67.85035836762688,164.40207475994512,124.62869598765432,8.453794142983,8.907576249639309,9.027353143844826,9.109063411231777,0.9557378587294673,0.9527444960047122,0.953101463509714,0.9506649116761469,234.966560723597,250.28679295481564,248.99195262713724,261.3011972955478
1,74.61122599451303,136.64873628257888,141.26599022633744,6.997258397935277,7.362349884607931,7.384937984498666,7.52851501499571,0.9643524603583616,0.9609195710174318,0.9635174935915871,0.9620117263259182,208.46410766587863,228.34706886309957,213.46027304055806,221.9663596412772
1,72.03244855967078,146.61376543209877,138.4574116941015,7.347009474593524,7.5934990879080955,7.662627906979199,8.044312544051737,0.9627116335423114,0.961151370691048,0.9627581219417833,0.9574713008056188,223.3063583118845,232.32126853557654,222.89913781230328,254.3281221929385
1,71.27351165980795,139.3851740397805,154.69652949245543,6.94275279931338,7.336182473986175,6.945775193800906,7.321574294165501,0.9504429546005513,0.9446960072372713,0.949101558724691,0.9447104270251978,244.18153660645999,272.31221237964354,250.8427398795038,272.24081083046605
1,65.64801268861454,155.19132030178326,135.19898233882031,6.407736434110252,6.842770967787483,6.723641688201562,6.725352745264198,0.9633857375110355,0.9594575884099803,0.961916795295369,0.960930529819868,153.0610387597301,169.16289852270606,159.1257743325124,163.01702747338126
